study,subject,Age,Sex,Averagefrequencyviolence,Gameplayed,VorNV,Score,Selfscore,Kinsey,Relationshipstatus,lengthofrelationship,ageofpartner,MV1Total,MV2Average,SGAAverage,HostilityTotal,SOIRTOTAL,Removedata,Rank,TotalSTScore,TotalLTScore
Gaming_manipulation,104521049,45,Female,22,perfectbalance.html,NV,2234,3,1,Single, , ,15,3.772727273,1,6,21,No,,,
Gaming_manipulation,106496730,31,Female,10,perfectbalance.html,NV,1100,2,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,27,5.772727273,6.333333333,6,30,No,,,
Gaming_manipulation,115114039,27,Female,23.8,bubbleshooter.html,NV,200000,5,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little younger,23,4.772727273,4.333333333,6,24,No,,,
Gaming_manipulation,115456942,25,Female,9.5,moremindlessviolence.html,V,30,3,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,28,5.136363636,1,6,14,No,,,
Gaming_manipulation,119001513,35,Female,24,bubbleshooter.html,NV,830,4,1,"In a long-term monogamous relationship eg. married, partnered",2-5 years,About the same age,23,4.727272727,5.333333333,6,45,No,,,
Gaming_manipulation,119789297,21,Female,13.2,bubbleshooter.html,NV,3820,5,1,Single, , ,28,5.636363636,5.333333333,6,13,No,,,
Gaming_manipulation,124146541,39,Female,14,perfectbalance.html,NV,1041,3,1,"In a long-term monogamous relationship eg. married, partnered",11-20 years,A little older,26,4.181818182,1.333333333,6,37,No,,,
Gaming_manipulation,125383731,26,Female,6,bubbleshooter.html,NV,1440,6,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,Older,22,4.545454545,2.333333333,6,30,No,,,
Gaming_manipulation,134558795,54,Female,7,pongnop.html,NV,913,1,1,"In a long-term monogamous relationship eg. married, partnered",20+ years,About the same age,28,5.090909091,2,6,11,Yes,,,
Gaming_manipulation,144242524,32,Female,22.2,deanimator.html,V,8,4,1,"In a long-term monogamous relationship eg. married, partnered",6-10 years,A little older,25,3.727272727,2.333333333,7,14,No,,,
